,Unnamed: 0,game_name,game_params,init_time,total_time,times,level,load,it,GPU,CPU,storage,config_id
49,,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 12:00:08.517063168,47.5045220852,"[0.22372698783874512, 2.936668634414673, 25.02317500114441, 26.366236925125122, 46.94947361946106]",20.5832366943,22.0865063667,9,GTX 960,i5-7600 @ 3.5GHz,SSD,1
50,,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 12:01:07.190071552,68.2775142193,"[0.25562071800231934, 28.531564950942993, 30.575902938842773, 31.752249717712402, 32.944212198257446, 65.2291316986084, 67.37938189506531]",32.2849195004,2.0443379879,0,GTX 960,i5-7600 @ 3.5GHz,SSD,1
51,,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 12:02:32.744233472,53.7164859772,"[0.2449781894683838, 22.01856017112732, 24.039242029190063, 25.195698499679565, 26.385032892227173, 50.6383171081543, 52.80791401863098]",24.2532842159,2.0206818581,1,GTX 960,i5-7600 @ 3.5GHz,SSD,1
52,,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 12:03:43.075334912,61.1376731396,"[0.2447984218597412, 22.091643810272217, 24.155203819274902, 25.319177627563477, 26.521751403808594, 58.181018352508545, 60.23949480056763]",31.6592669487,2.063560009,2,GTX 960,i5-7600 @ 3.5GHz,SSD,1
53,,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 12:05:00.592356608,59.1206891537,"[0.24507522583007812, 22.043174266815186, 24.026785373687744, 25.182753324508667, 26.394695520401, 56.094765186309814, 58.212562799453735]",29.7000696659,1.9836111069000002,3,GTX 960,i5-7600 @ 3.5GHz,SSD,1
54,,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 12:06:16.564837376,52.0103108883,"[0.24941635131835938, 22.267385482788086, 24.283459186553955, 25.463606357574463, 26.667118310928345, 49.0407497882843, 51.10482883453369]",22.3736314774,2.0160737038,4,GTX 960,i5-7600 @ 3.5GHz,SSD,1
55,,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 12:07:24.607001856,49.4391210079,"[0.22269368171691895, 22.179842710494995, 24.23780632019043, 25.410056114196777, 26.540154457092285, 46.41838622093201, 48.53737163543701]",19.8782317638,2.0579636097,5,GTX 960,i5-7600 @ 3.5GHz,SSD,1
56,,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 12:08:30.370768384,60.7220249176,"[0.24582457542419434, 22.1615047454834, 24.186238050460815, 25.32930874824524, 26.52974581718445, 57.7475905418396, 59.81531381607056]",31.2178447247,2.024733305,6,GTX 960,i5-7600 @ 3.5GHz,SSD,1
57,,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 12:09:47.547983104,62.5211091042,"[0.2455892562866211, 22.174147605895996, 24.23047375679016, 25.431705951690674, 26.612105131149292, 55.13144612312317, 61.60992884635925]",28.519340992,2.0563261509,7,GTX 960,i5-7600 @ 3.5GHz,SSD,1
58,,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 12:11:06.242688256,56.9068815708,"[0.23972344398498535, 21.999186992645264, 23.9530131816864, 25.111067056655884, 26.288427352905273, 53.97303247451782, 55.99787783622742]",27.6846051216,1.953826189,8,GTX 960,i5-7600 @ 3.5GHz,SSD,1
59,,CSGO,"{'process_name': ['csgo.exe'], 'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Counter-Strike: Global Offensive']}",2021-12-16 12:12:19.775797760,58.4703643322,"[0.23211431503295898, 22.366938829421997, 24.39947485923767, 25.56680154800415, 26.754661560058594, 55.406150341033936, 57.56511998176575]",28.651488781,2.0325360298,9,GTX 960,i5-7600 @ 3.5GHz,SSD,1
60,,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 12:13:34.774384896,43.5567958355,"[0.2410569190979004, 29.748318910598755, 37.45988655090332, 37.97737956047058, 43.31784772872925]",5.3404681683,37.2188296318,0,GTX 960,i5-7600 @ 3.5GHz,SSD,1
61,,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 12:14:29.334505984,43.8676514626,"[0.22298049926757812, 28.668689012527466, 37.048686504364014, 37.580254554748535, 43.62842321395874]",6.0481686592,36.8257060051,1,GTX 960,i5-7600 @ 3.5GHz,SSD,1
62,,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 12:15:24.222552832,41.9476120472,"[0.22027182579040527, 26.788159608840942, 35.099814891815186, 35.67489790916443, 41.71971344947815]",6.0448155403,34.879543066,2,GTX 960,i5-7600 @ 3.5GHz,SSD,1
63,,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 12:16:17.126580992,40.0887458324,"[0.22012639045715332, 26.784912824630737, 34.144970178604126, 34.61523222923279, 39.862346172332764]",5.2471139431000005,33.9248437881,3,GTX 960,i5-7600 @ 3.5GHz,SSD,1
64,,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 12:17:08.183419136,41.8268578053,"[0.2389979362487793, 26.832860469818115, 35.11126923561096, 35.64334034919739, 41.59846806526184]",5.9551277161,34.8722712994,4,GTX 960,i5-7600 @ 3.5GHz,SSD,1
65,,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 12:18:01.025569792,40.2455155849,"[0.21383929252624512, 26.551913261413574, 34.1452796459198, 34.67773962020874, 40.0201199054718]",5.3423802853,33.9314403534,5,GTX 960,i5-7600 @ 3.5GHz,SSD,1
66,,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 12:18:52.224652800,40.8964312077,"[0.22354841232299805, 26.524644374847412, 34.881338357925415, 35.42111039161682, 40.67003870010376]",5.2489283085,34.6577899456,6,GTX 960,i5-7600 @ 3.5GHz,SSD,1
67,,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 12:19:44.148878080,41.4513485432,"[0.2387702465057373, 26.143353700637817, 34.649906873703, 35.172117710113525, 41.24059510231018]",6.0684773922,34.4111366272,7,GTX 960,i5-7600 @ 3.5GHz,SSD,1
68,,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 12:20:36.557922560,40.9457890987,"[0.23899245262145996, 26.964041709899902, 34.55054759979248, 35.02339148521423, 40.72186279296875]",5.6984713078,34.311555147199996,8,GTX 960,i5-7600 @ 3.5GHz,SSD,1
69,,Apex,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'window_names': ['Apex Legends']}",2021-12-16 12:21:28.512166912,41.2750360966,"[0.2178647518157959, 26.92799401283264, 34.49219799041748, 35.019031286239624, 41.032007694244385]",6.012976408,34.2743332386,9,GTX 960,i5-7600 @ 3.5GHz,SSD,1
70,,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2021-12-16 12:22:20.751124736,43.8479478359,"[0.2279045581817627, 10.362074851989746, 33.534687519073486, 43.62252879142761]",10.0878412724,23.1726126671,0,GTX 960,i5-7600 @ 3.5GHz,SSD,1
71,,Hearthstone,"{'move_time': 0.0, 'kill_mode': 'os', 'process_name': ['Hearth', 'Battle'], 'window_names': ['Battle.net', 'Hearthstone']}",2021-12-16 12:23:18.416722688,33.653075695,"[0.20100069046020508, 7.114959478378296, 24.316386699676514, 33.431533336639404]",9.115146637,17.2014272213,1,GTX 960,i5-7600 @ 3.5GHz,SSD,1
